date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-26,6.25,,,,,,,,,,,,,,,,
2014-02-27,6.333333333333333,,,,,,,,,,,,,,,,
2014-03-21,6.2,0.660594747135665,0.8789325238512173,,,-0.07756599137411302,0.15997406211998483,-0.6310531811560998,-0.7269723009270578,,0.9250780128744063,0.829417790324026,-0.07968433861752232,0.9639425849597782,,-0.1610089132795236,
2014-03-22,6.4,3.8703206237254095,-1.299979376595022,,,-0.338369775046209,-0.016668689786842744,-0.7418213243045153,-0.6684405191817823,,,-0.17774752031151803,-0.4235939564740463,-0.05855364119485634,,0.6494382709372362,
2014-03-23,6.8,1.03606808052035,-0.9002844400842633,,,-0.1645117481726334,0.07402992760155239,-1.0066991432971635,-0.39942755952851033,,,-0.29667797976489757,-0.30381838727354743,,,0.1925159834331525,
2014-03-24,6.0,-0.42309199788439134,-0.7008980327955208,,,-0.4501414224952811,-0.2326536087407575,0.5719942764326685,-0.76274302537371,,-1.1506699136072351,-0.3626184743390024,-0.0812350101508442,1.3821000269363415,,3.1621852305817186,
2014-03-25,6.75,0.38020719076328546,1.195980920469659,,,-0.24868123453574636,0.9054305478168394,-0.9604848121701157,-0.4055631998456214,,,0.8189530917238178,-0.1385345210453883,,0.08042748967339089,-0.1980646545432851,
2014-03-26,6.6,-0.465114324715282,-0.3389358103667711,,,-0.31125356619379885,-0.25761064168557857,0.7103596281472435,-0.5491383553081015,,,-0.03696821063225068,0.357668913986102,,,0.3567795708386882,
2014-03-27,7.0,0.8371195066541677,0.37628809182677264,,,-0.3288200872673704,-0.4503595905651383,-0.3174190396972546,-0.1728308029461543,,-0.6853038827111703,-0.4470938788803853,-0.10816910115878671,-0.4799794227160881,,-0.49933661597040047,
2014-03-28,6.4,0.32250599627658894,-1.1287295793109364,,,2.5918074332789622,-1.4521950925817568,0.0371122496765281,-0.26671137398733524,0.8771360211763345,,1.3150276951183428,-0.5218300089509027,0.6308657319241961,,0.19680917935893907,
2014-03-29,8.0,-0.8047402636070236,0.3935435136769805,,,0.292534927376999,-0.2227908547746605,0.33475147253098875,,,,0.46685596086248976,-0.2228606792596438,-0.6707655766404128,,-0.06094079490236582,
2014-03-30,7.5,-0.8513630632922627,1.1637070112372356,,,-0.3368901662060355,0.5101990154251458,1.4165866170383008,,,,-0.28425822180840227,-0.2515840705620473,,0.38571798972015203,0.6038011473854084,
2014-03-31,7.4,-0.44063349986171185,-0.31697912956961405,,,0.0305905541515498,-0.5581914807853592,-0.6535316766885944,-0.678953736687892,-0.39373477396355383,,0.47862014806002257,-0.24816966971213614,-0.07796985832707694,0.07144338273051225,-0.6949340854954819,
2014-04-01,6.0,0.5790722945063556,-0.42113242527769185,,,-0.41952812018934327,-0.9818445570357759,-0.8065688325837463,-0.09235448655508936,0.1327832893836336,-0.09027993189634217,-0.10649254214210667,-0.3415787523291544,1.988258250134191,,-0.3542426209085919,
2014-04-02,6.5,0.5560445343245544,-0.3365314572415436,,,0.00906715278185088,-0.9259110006862474,-0.7477182158805962,-0.24541105124568346,,2.187463394182066,0.423758132497296,-0.17299497243467135,,,-0.24583647834467626,
2014-04-03,6.4,-0.8364297867780403,-0.6375065985922392,,,-0.2826732339032159,-0.2907114635625807,-0.6879687422436466,0.6245094277569099,,,-0.16260985019011237,-0.3540189578821034,-0.6212472238927905,,-0.610347492335579,
